Date,Total_cases,New_cases
27/01/2020,1,1
28/01/2020,2,1
29/01/2020,3,1
30/01/2020,4,1
31/01/2020,6,2
01/02/2020,6,0
02/02/2020,6,0
03/02/2020,6,0
04/02/2020,6,0
05/02/2020,6,0
06/02/2020,6,0
07/02/2020,6,0
08/02/2020,6,0
09/02/2020,6,0
10/02/2020,6,0
11/02/2020,6,0
12/02/2020,6,0
13/02/2020,6,0
14/02/2020,6,0
15/02/2020,6,0
16/02/2020,6,0
17/02/2020,7,1
18/02/2020,7,0
19/02/2020,7,0
20/02/2020,8,1
21/02/2020,8,0
22/02/2020,8,0
23/02/2020,8,0
24/02/2020,8,0
25/02/2020,8,0
26/02/2020,10,2
27/02/2020,10,0
28/02/2020,12,2
29/02/2020,16,4
01/03/2020,16,0
02/03/2020,21,5
03/03/2020,23,2
04/03/2020,28,5
05/03/2020,35,7
06/03/2020,45,10
07/03/2020,53,8
08/03/2020,57,4
09/03/2020,74,17
10/03/2020,89,15
11/03/2020,115,26
12/03/2020,138,23
13/03/2020,186,48
14/03/2020,229,43
15/03/2020,261,32
16/03/2020,298,37
17/03/2020,351,53
18/03/2020,393,42
19/03/2020,436,43
20/03/2020,499,63
21/03/2020,535,36
22/03/2020,577,42
23/03/2020,655,78
24/03/2020,726,71
25/03/2020,805,79
26/03/2020,878,73
27/03/2020,944,66
28/03/2020,984,40
29/03/2020,1009,25
30/03/2020,1083,74
31/03/2020,1135,52
01/04/2020,1185,50
02/04/2020,1237,52
03/04/2020,1280,43
04/04/2020,1312,32
05/04/2020,1354,42
06/04/2020,1407,53
07/04/2020,1449,42
08/04/2020,1519,70
09/04/2020,1587,68
10/04/2020,1668,81
11/04/2020,1709,41
12/04/2020,1733,24
13/04/2020,1773,40
14/04/2020,1817,44
15/04/2020,1848,31
16/04/2020,1874,26
17/04/2020,1914,40
18/04/2020,1929,15
19/04/2020,1943,14
20/04/2020,1968,25
21/04/2020,1994,26
22/04/2020,2043,49
23/04/2020,2063,20
24/04/2020,2092,29
25/04/2020,2106,14
26/04/2020,2117,11
27/04/2020,2141,24